c|packed
Switzerland|08-16~39,3,1,0,0 06-08~15,3,0,0,0 05-29~32,1,1,0,0 06-09~23,5,4,1,1 06-19~25,5,3,0,0 2026-08M~7848,300,2,1,0 08-10~3277,119,0,0,0 06-20~34,10,5,0,0 07-04~19,1,1,1,1 06-27~18,3,0,0,0 2026-05M~24,3,0,0,0 07-22~34,5,1,0,0 08-18~39,4,1,1,0 05-15~19,4,2,2,1 2026-06~305,99,68,17,9 05-23~16,3,2,1,1 06-22~48,19,15,1,0 05-11~15,2,0,0,0 06-10~32,1,0,0,0 06-03~16,2,1,0,0 07-07~29,1,0,0,0 06-30~23,2,0,0,0 05-14~18,2,0,0,0 05-28~27,5,2,2,1 08-08~3382,145,2,1,0 06-15~24,2,1,1,1 05-19~20,4,1,0,0 08-11~2707,121,1,1,1 08-19~43,3,2,1,1 07-23~20,1,1,0,0 05-31~25,3,3,2,0 08-07~3218,130,1,1,1 05-27~21,3,2,1,0 06-06~15,0,0,0,0 08-17~31,0,0,0,0 06-21~39,23,20,1,0 08-26~27,0,0,0,0 08-04~2861,134,1,0,0 05-16~13,1,1,0,0 05-18~10,3,0,0,0 07-15~28,4,3,2,1 07-30~4380,214,2,1,1 09-02~16,1,0,0,0 05-04~20,5,0,0,0 06-13~42,6,3,2,2 07-02~27,4,1,1,0 2026-09~22,1,0,0,0 06-25~22,3,1,0,0 06-23~19,3,1,1,0 07-05~23,1,1,0,0 08-01~3875,150,1,1,0 08-12~1155,48,1,1,0 07-28~4721,208,0,0,0 06-01~15,0,0,0,0 07-21~18,0,0,0,0 06-11~36,3,1,1,1 08-03~3386,147,0,0,0 08-23~37,6,3,1,1 07-19~26,2,1,1,1 05-03~17,4,0,0,0 08-28~28,2,2,0,0 07-12~19,1,0,0,0 07-11~19,1,0,0,0 2026-09M~22,1,0,0,0 05-25~21,3,0,0,0 06-04~19,3,1,1,1 09-01~17,0,0,0,0 08-06~3081,135,0,0,0 06-26~23,5,2,1,0 07-20~24,4,2,0,0 07-01~24,0,0,0,0 05-17~15,2,2,0,0 08-05~3151,144,1,0,0 07-26~17,2,1,1,1 08-15~37,3,2,0,0 08-02~4004,151,1,0,0 2026-06M~32,5,2,1,0 2026-08~37359,1557,26,14,6 07-31~4202,201,1,1,0 07-09~27,1,0,0,0 06-05~25,4,1,1,1 05-02~17,1,0,0,0 05-05~14,1,0,0,0 05-21~22,7,3,1,1 08-24~32,3,0,0,0 08-25~29,2,0,0,0 05-09~14,3,0,0,0 2026-07~20639,961,46,19,11 05-26~15,2,1,0,0 05-10~18,3,0,0,0 07-06~25,2,1,1,0 05-22~20,4,1,0,0 07-10~27,5,4,2,2 05-13~18,3,1,1,1 07-25~16,0,0,0,0 06-29~24,3,2,1,0 05-30~19,1,1,1,0 06-17~28,5,2,0,0 07-29~4318,185,2,1,0 08-13~55,3,1,1,1 06-02~25,5,2,1,0 05-24~20,2,1,0,0 06-07~22,2,1,1,1 08-20~41,2,0,0,0 08-21~24,2,0,0,0 05-07~13,2,0,0,0 07-08~28,4,3,0,0 07-13~19,0,0,0,0 08-29~20,2,0,0,0 05-20~16,3,1,1,0 2026-05~191,62,26,17,6 07-18~20,5,5,0,0 08-22~33,4,1,0,0 07-14~23,5,3,2,1 05-12~15,2,0,0,0 07-24~19,2,1,0,0 06-28~23,0,0,0,0 08-09~3261,100,0,0,0 2026-07M~36,4,1,1,0 06-12~30,4,2,2,1 06-16~26,5,2,1,0 07-17~26,6,5,1,1 05-06~18,1,0,0,0 06-14~30,4,1,0,0 all~58306,2653,162,70,35 06-18~26,1,0,0,0 06-24~19,1,0,0,0 08-14~42,5,1,1,0 08-31~17,1,1,1,1 08-27~26,2,1,1,0 07-03~25,5,4,1,1 07-16~25,4,4,2,0 05-01~14,3,0,0,0 08-30~17,1,1,1,0 05-08~10,1,0,0,0 07-27~2991,105,0,0,0 sr~58958,58514 se~65823,318,64,38.0,1.85
Syria|06-07~3,1,0,0,0 07-24~2,0,0,0,0 08-12~2,1,1,0,0 07-28~14,0,0,0,0 06-30~5,2,1,0,0 05-14~1,0,0,0,0 07-23~2,0,0,0,0 06-06~1,0,0,0,0 06-16~2,0,0,0,0 2026-09M~1,0,0,0,0 05-25~2,0,0,0,0 06-23~1,0,0,0,0 08-07~2,0,0,0,0 06-28~2,0,0,0,0 07-30~5,2,0,0,0 08-30~1,0,0,0,0 05-03~1,0,0,0,0 05-21~3,0,0,0,0 08-22~3,0,0,0,0 08-09~4,0,0,0,0 06-13~3,1,0,0,0 07-07~1,0,0,0,0 07-22~2,0,0,0,0 06-25~2,0,0,0,0 08-08~3,2,0,0,0 07-14~2,0,0,0,0 07-17~3,1,0,0,0 08-29~1,0,0,0,0 05-26~2,0,0,0,0 07-27~3,0,0,0,0 05-13~1,0,0,0,0 07-29~12,4,0,0,0 06-20~2,0,0,0,0 08-18~2,1,0,0,0 08-02~2,0,0,0,0 07-02~1,0,0,0,0 06-03~2,0,0,0,0 all~132,30,4,2,0 08-17~3,0,0,0,0 08-28~3,0,0,0,0 05-02~1,0,0,0,0 07-18~1,0,0,0,0 07-11~2,0,0,0,0 06-09~1,0,0,0,0 05-16~1,0,0,0,0 08-20~1,0,0,0,0 05-11~2,1,0,0,0 07-04~1,0,0,0,0 2026-09~1,0,0,0,0 05-23~4,1,1,1,0 05-24~1,0,0,0,0 07-20~1,0,0,0,0 05-09~2,1,0,0,0 07-16~3,0,0,0,0 06-12~3,0,0,0,0 07-06~1,0,0,0,0 05-18~1,0,0,0,0 2026-05~14,4,2,2,0 05-30~2,0,0,0,0 2026-07M~12,7,0,0,0 06-24~2,0,0,0,0 07-25~2,0,0,0,0 2026-08M~6,0,0,0,0 07-13~1,0,0,0,0 08-01~5,0,0,0,0 06-05~2,0,0,0,0 08-19~2,0,0,0,0 07-31~2,0,0,0,0 06-29~6,3,0,0,0 09-02~1,0,0,0,0 05-01~1,0,0,0,0 07-21~1,0,0,0,0 2026-06M~2,0,0,0,0 05-20~1,0,0,0,0 2026-06~29,7,1,0,0 08-25~1,0,0,0,0 06-21~1,0,0,0,0 08-24~2,0,0,0,0 08-26~4,0,0,0,0 08-06~2,0,0,0,0 05-07~1,0,0,0,0 05-17~1,0,0,0,0 05-19~1,0,0,0,0 08-05~3,1,0,0,0 08-04~4,0,0,0,0 05-10~1,0,0,0,0 2026-05M~1,0,0,0,0 06-15~2,0,0,0,0 05-28~2,0,0,0,0 07-12~2,0,0,0,0 06-02~1,0,0,0,0 06-14~1,0,0,0,0 08-23~2,0,0,0,0 06-04~2,0,0,0,0 05-27~3,0,0,0,0 06-01~2,0,0,0,0 07-19~3,1,0,0,0 2026-07~53,15,0,0,0 05-31~4,1,1,1,0 05-04~1,0,0,0,0 06-26~2,0,0,0,0 06-18~1,0,0,0,0 05-08~1,0,0,0,0 08-10~2,0,0,0,0 06-11~1,0,0,0,0 07-09~1,0,0,0,0 06-22~1,0,0,0,0 07-15~3,0,0,0,0 06-08~1,0,0,0,0 07-10~1,0,0,0,0 08-27~2,0,0,0,0 08-13~3,0,0,0,0 05-29~2,0,0,0,0 08-16~4,0,0,0,0 08-03~2,0,0,0,0 08-21~3,0,0,0,0 08-14~3,0,0,0,0 05-05~1,0,0,0,0 06-27~5,0,0,0,0 05-12~1,0,0,0,0 08-11~2,0,0,0,0 08-15~2,0,0,0,0 07-08~1,0,0,0,0 06-10~1,0,0,0,0 05-15~1,0,0,0,0 07-05~1,0,0,0,0 06-19~2,0,0,0,0 07-01~12,7,0,0,0 07-03~1,0,0,0,0 06-17~2,0,0,0,0 07-26~2,0,0,0,0 05-22~1,0,0,0,0 2026-08~45,4,1,0,0 05-06~1,0,0,0,0 se~484,399,64,10.7,3.79
São Tomé and Príncipe|08-09~1,0,0,0,0 all~1,0,0,0,0 2026-08~1,0,0,0,0
Taiwan|08-20~1,0,0,0,0 09-02~5,0,0,0,0 07-09~38,18,17,0,0 06-11~3,0,0,0,0 08-09~3,0,0,0,0 08-04~5,0,0,0,0 06-26~6,1,0,0,0 05-02~3,0,0,0,0 06-10~2,0,0,0,0 07-08~2,0,0,0,0 08-08~3,0,0,0,0 2026-07M~9,1,0,0,0 07-18~4,1,0,0,0 07-21~28,1,1,1,0 08-28~2,0,0,0,0 08-11~5,2,0,0,0 06-24~4,0,0,0,0 07-26~2,0,0,0,0 08-23~2,1,0,0,0 08-26~2,0,0,0,0 05-15~7,1,0,0,0 07-23~6,2,0,0,0 08-25~3,0,0,0,0 06-05~2,0,0,0,0 06-09~4,1,0,0,0 07-11~53,46,45,1,0 07-02~7,1,0,0,0 07-01~3,0,0,0,0 06-19~1,1,1,0,0 08-19~4,0,0,0,0 09-01~3,0,0,0,0 05-30~2,1,1,0,0 06-29~4,1,1,1,0 07-31~15,1,0,0,0 05-05~2,0,0,0,0 06-27~3,0,0,0,0 08-14~3,0,0,0,0 07-14~4,1,1,1,0 06-15~2,0,0,0,0 08-01~22,0,0,0,0 05-14~3,0,0,0,0 06-16~3,0,0,0,0 07-07~3,0,0,0,0 07-20~12,1,0,0,0 05-09~2,1,0,0,0 2026-09M~5,0,0,0,0 05-22~3,0,0,0,0 05-07~4,0,0,0,0 06-21~2,0,0,0,0 07-12~7,0,0,0,0 07-24~3,0,0,0,0 07-22~2,0,0,0,0 06-18~2,1,0,0,0 06-04~4,0,0,0,0 05-16~2,0,0,0,0 all~319,117,84,14,0 07-10~16,5,4,1,0 06-08~2,0,0,0,0 05-25~5,0,0,0,0 05-26~1,0,0,0,0 08-29~2,0,0,0,0 07-05~1,0,0,0,0 06-22~3,0,0,0,0 08-17~3,0,0,0,0 06-13~4,2,2,2,0 2026-08M~40,2,0,0,0 08-16~4,2,1,1,0 07-27~2,0,0,0,0 06-20~4,1,0,0,0 2026-06M~3,1,0,0,0 05-17~1,0,0,0,0 08-18~4,1,1,0,0 08-30~2,1,0,0,0 05-08~8,0,0,0,0 08-10~1,0,0,0,0 05-11~1,0,0,0,0 05-01~4,1,0,0,0 05-18~4,0,0,0,0 08-13~3,0,0,0,0 08-12~2,0,0,0,0 05-06~3,0,0,0,0 2026-05M~5,1,0,0,0 06-03~2,0,0,0,0 07-04~2,0,0,0,0 06-14~3,0,0,0,0 06-02~3,1,0,0,0 05-29~3,0,0,0,0 2026-05~46,10,2,1,0 05-28~5,0,0,0,0 2026-07~159,84,74,7,0 08-24~3,0,0,0,0 06-12~3,1,0,0,0 05-31~1,0,0,0,0 06-17~3,0,0,0,0 05-27~4,1,0,0,0 05-12~4,1,0,0,0 06-30~3,1,1,1,0 07-28~6,0,0,0,0 06-25~4,0,0,0,0 08-22~4,1,1,1,0 06-23~2,0,0,0,0 07-16~9,0,0,0,0 08-06~1,0,0,0,0 06-07~2,0,0,0,0 07-03~2,0,0,0,0 07-06~3,0,0,0,0 08-31~2,0,0,0,0 08-05~1,0,0,0,0 2026-09~5,0,0,0,0 05-24~2,0,0,0,0 08-15~2,0,0,0,0 08-21~1,0,0,0,0 05-23~1,0,0,0,0 08-27~4,1,0,0,0 08-02~20,2,0,0,0 05-13~3,1,0,0,0 07-29~10,2,2,1,0 05-04~1,0,0,0,0 08-07~4,1,0,0,0 08-03~23,2,0,0,0 06-06~4,0,0,0,0 05-03~6,1,0,0,0 07-13~13,5,3,0,0 07-17~5,0,0,0,0 05-20~2,1,1,1,0 2026-08~95,14,3,2,0 07-15~2,0,0,0,0 06-01~2,0,0,0,0 07-19~10,0,0,0,0 07-25~3,0,0,0,0 05-19~6,0,0,0,0 07-30~5,0,0,0,0 06-28~3,0,0,0,0 05-21~2,1,0,0,0 2026-06~36,11,5,4,0 05-10~1,0,0,0,0 sr~361,236 se~829,822,66,13.6,2.9
Tajikistan|07-31~1,0,0,0,0 06-03~1,0,0,0,0 07-06~1,0,0,0,0 06-22~1,0,0,0,0 06-25~1,0,0,0,0 07-07~1,0,0,0,0 2026-06~5,1,1,1,1 08-07~1,0,0,0,0 06-24~1,0,0,0,0 06-21~1,0,0,0,0 06-13~1,0,0,0,0 06-30~1,0,0,0,0 08-02~1,0,0,0,0 07-02~2,1,1,1,1 2026-07~7,3,1,1,1 06-11~1,1,1,1,1 2026-08M~2,0,0,0,0 06-26~1,0,0,0,0 07-29~1,0,0,0,0 08-13~2,1,0,0,0 07-04~1,0,0,0,0 06-28~1,0,0,0,0 06-27~2,0,0,0,0 08-24~1,0,0,0,0 06-17~1,0,0,0,0 06-19~1,0,0,0,0 2026-07M~2,1,1,1,1 08-20~1,1,1,0,0 07-03~1,0,0,0,0 2026-08~9,3,1,0,0 05-08~1,1,0,0,0 2026-05~1,1,0,0,0 08-21~3,1,0,0,0 07-23~1,0,0,0,0 07-28~1,1,0,0,0 06-12~1,0,0,0,0 08-05~1,0,0,0,0 08-01~1,0,0,0,0 all~21,8,3,2,2 08-22~1,0,0,0,0 07-26~1,1,0,0,0 08-23~1,0,0,0,0
Tanzania|2026-09~1,0,0,0,0 07-18~1,0,0,0,0 2026-09M~1,0,0,0,0 06-23~1,0,0,0,0 07-22~1,1,0,0,0 05-28~1,0,0,0,0 08-12~19,0,0,0,0 08-20~1,0,0,0,0 06-25~2,0,0,0,0 05-01~1,0,0,0,0 07-13~1,0,0,0,0 05-06~1,0,0,0,0 08-03~1,0,0,0,0 07-17~1,1,1,1,0 2026-06~21,8,5,4,0 05-03~1,0,0,0,0 05-31~1,0,0,0,0 08-31~1,0,0,0,0 05-14~1,0,0,0,0 08-28~1,0,0,0,0 05-21~2,1,1,1,0 07-10~1,0,0,0,0 06-08~1,0,0,0,0 08-07~1,0,0,0,0 06-24~1,0,0,0,0 08-30~2,1,1,0,0 all~86,14,8,6,0 08-13~1,0,0,0,0 06-22~2,1,1,1,0 06-13~1,0,0,0,0 07-29~4,1,0,0,0 08-08~2,0,0,0,0 08-06~1,0,0,0,0 07-02~4,0,0,0,0 07-27~1,0,0,0,0 05-04~1,0,0,0,0 05-02~1,0,0,0,0 07-12~1,0,0,0,0 06-27~6,3,1,1,0 06-16~2,0,0,0,0 06-01~1,0,0,0,0 07-19~2,0,0,0,0 2026-08~39,2,1,0,0 07-05~3,0,0,0,0 07-06~1,0,0,0,0 05-25~1,0,0,0,0 2026-08M~1,0,0,0,0 05-07~1,0,0,0,0 08-21~2,1,0,0,0 05-18~1,0,0,0,0 05-17~1,0,0,0,0 2026-07~30,3,1,1,0 07-16~1,0,0,0,0 06-30~1,0,0,0,0 07-28~1,0,0,0,0 07-31~1,0,0,0,0 08-23~2,0,0,0,0 07-21~1,0,0,0,0 06-20~2,0,0,0,0 07-09~2,0,0,0,0 06-11~3,0,0,0,0 08-15~2,0,0,0,0 2026-05M~1,0,0,0,0 07-11~1,0,0,0,0 06-03~1,0,0,0,0 07-07~1,0,0,0,0 05-08~1,0,0,0,0 08-29~2,0,0,0,0 06-26~7,3,3,2,0 05-23~1,0,0,0,0 08-25~2,0,0,0,0 06-14~1,0,0,0,0 2026-06M~1,0,0,0,0 08-19~1,0,0,0,0 09-01~1,0,0,0,0 07-04~1,0,0,0,0 2026-07M~12,0,0,0,0 06-17~1,0,0,0,0 07-03~2,0,0,0,0 05-09~1,0,0,0,0 07-24~1,0,0,0,0 07-23~2,0,0,0,0 08-18~1,0,0,0,0 08-14~3,0,0,0,0 05-05~1,0,0,0,0 06-21~1,0,0,0,0 06-04~2,1,0,0,0 06-12~1,0,0,0,0 05-10~1,0,0,0,0 2026-05~2,1,1,1,0 07-01~8,0,0,0,0 06-19~1,0,0,0,0 06-05~1,0,0,0,0 08-01~1,0,0,0,0 08-16~4,0,0,0,0 07-30~2,0,0,0,0 06-28~5,0,0,0,0 se~216,286,84,10.6,2.93
Thailand|07-11~14,2,1,1,0 06-09~8,2,1,0,0 06-14~14,1,1,1,0 06-20~20,10,8,4,0 08-03~7,0,0,0,0 2026-08~81,27,12,7,5 05-26~5,0,0,0,0 all~473,142,80,51,10 08-04~6,0,0,0,0 06-24~14,1,0,0,0 06-21~14,3,2,1,0 05-03~6,0,0,0,0 08-29~8,4,3,1,0 05-15~6,2,1,1,1 05-31~5,0,0,0,0 08-10~5,0,0,0,0 06-15~5,0,0,0,0 07-19~28,4,0,0,0 06-01~7,1,1,1,0 07-20~24,7,3,2,0 08-17~10,3,0,0,0 07-12~15,5,1,1,0 05-12~6,1,0,0,0 05-11~4,0,0,0,0 07-17~20,6,5,3,0 07-05~9,2,1,0,0 06-06~8,0,0,0,0 08-12~6,0,0,0,0 07-14~11,1,0,0,0 08-20~10,2,1,0,0 05-20~7,4,1,1,0 08-05~8,1,1,1,1 09-02~6,0,0,0,0 2026-06M~11,3,2,1,0 08-30~5,0,0,0,0 06-16~14,2,1,0,0 07-28~6,0,0,0,0 06-30~15,2,1,0,0 2026-09~12,0,0,0,0 05-27~6,1,1,0,0 06-27~11,2,1,0,0 07-25~8,1,1,1,0 08-25~8,1,0,0,0 05-16~3,1,0,0,0 06-28~13,4,1,1,0 07-30~9,0,0,0,0 06-17~10,1,0,0,0 05-21~7,1,0,0,0 05-02~2,1,0,0,0 05-28~10,0,0,0,0 2026-06~172,56,39,20,0 08-11~12,2,0,0,0 07-07~15,0,0,0,0 05-19~6,0,0,0,0 05-17~9,2,0,0,0 08-08~7,2,1,1,0 08-23~11,1,0,0,0 06-07~8,2,2,1,0 06-12~12,1,1,1,0 08-15~7,0,0,0,0 08-13~6,0,0,0,0 08-07~6,1,0,0,0 05-24~9,1,0,0,0 08-31~6,2,2,1,1 08-21~8,0,0,0,0 06-04~5,0,0,0,0 06-22~11,4,4,0,0 07-18~14,3,2,2,0 05-23~6,0,0,0,0 08-02~7,2,1,0,0 06-11~19,1,1,1,0 07-09~7,1,0,0,0 07-26~9,0,0,0,0 07-27~6,0,0,0,0 06-26~10,0,0,0,0 08-16~8,1,1,0,0 05-30~16,1,0,0,0 08-09~5,0,0,0,0 06-25~11,2,1,0,0 08-06~11,1,0,0,0 05-18~5,0,0,0,0 07-29~9,0,0,0,0 07-02~7,1,0,0,0 07-03~7,2,1,0,0 06-19~18,6,5,3,0 07-01~12,0,0,0,0 07-21~22,4,2,1,0 07-08~10,2,1,0,0 06-10~17,5,4,2,0 07-22~6,0,0,0,0 07-23~5,0,0,0,0 06-13~16,4,3,2,0 2026-05M~4,1,0,0,0 06-02~5,2,1,0,0 05-04~6,2,0,0,0 2026-09M~12,0,0,0,0 05-06~1,0,0,0,0 07-04~5,0,0,0,0 05-29~5,2,2,2,1 2026-07~204,46,24,18,1 07-15~7,0,0,0,0 05-14~5,0,0,0,0 2026-08M~11,2,1,0,0 09-01~9,0,0,0,0 08-19~11,3,1,0,0 07-13~11,2,1,1,0 05-13~5,2,0,0,0 2026-07M~17,1,0,0,0 08-27~4,0,0,0,0 05-22~9,1,1,0,0 2026-05~77,18,6,4,2 06-18~7,0,0,0,0 05-08~3,0,0,0,0 07-31~7,1,1,1,0 06-29~6,0,0,0,0 07-24~9,0,0,0,0 07-06~11,2,2,2,0 06-08~6,1,0,0,0 07-10~12,1,0,0,0 07-16~17,2,2,2,0 08-18~10,2,1,0,0 08-22~7,0,0,0,0 06-05~7,1,0,0,0 08-26~4,0,0,0,0 05-09~2,0,0,0,0 05-05~3,0,0,0,0 06-03~5,0,0,0,0 08-24~8,1,0,0,0 05-25~5,0,0,0,0 06-23~13,0,0,0,0 08-28~5,0,0,0,0 08-14~6,1,0,0,0 08-01~8,0,0,0,0 05-10~4,0,0,0,0 05-07~4,0,0,0,0 05-01~2,0,0,0,0 sr~526,368 se~1760,902,139,7.3,3.82
The Netherlands|05-12~8,2,0,0,0 05-31~44,9,8,4,2 08-30~43,11,6,4,3 08-17~62,12,8,5,0 07-23~44,8,5,3,0 08-23~88,10,6,4,1 07-18~50,16,10,4,4 07-14~41,14,7,1,0 08-31~43,7,4,2,2 05-28~52,8,4,1,0 06-07~45,14,13,2,1 08-27~59,7,3,2,1 07-22~38,7,2,0,0 08-22~66,5,2,2,0 06-13~47,5,3,3,2 08-16~68,14,8,3,3 08-02~139,11,4,3,0 05-19~18,7,2,1,1 2026-06M~88,20,11,5,1 07-07~59,5,1,1,0 07-16~71,19,6,1,1 06-14~60,5,2,1,0 08-09~93,12,6,1,0 08-05~180,88,5,2,0 07-09~36,5,4,4,1 06-11~93,8,5,2,1 06-23~71,4,2,1,0 06-06~41,9,6,4,0 07-01~53,6,3,2,1 06-19~72,9,5,2,1 06-30~86,12,9,2,0 07-28~162,16,6,5,1 08-15~83,13,6,3,0 06-03~48,13,8,4,1 07-15~32,8,2,0,0 all~4515,998,531,300,117 07-04~73,8,6,3,1 08-24~78,12,8,2,0 06-26~53,5,5,0,0 07-27~101,17,7,4,0 08-14~59,7,5,3,2 07-24~52,10,3,1,0 05-20~23,5,3,2,2 05-30~39,5,4,3,2 06-12~74,7,3,3,1 05-23~31,11,8,4,2 2026-09~72,13,6,4,2 07-13~34,5,4,3,1 06-20~45,4,2,1,0 08-04~107,6,5,2,0 08-11~104,13,6,5,1 06-16~78,2,1,1,0 06-10~94,9,5,2,0 07-08~42,6,5,4,0 05-18~31,9,8,5,1 05-26~19,5,2,1,0 06-04~70,4,2,2,0 2026-06~1229,229,148,76,22 2026-09M~72,13,6,4,2 06-22~67,8,3,1,0 05-24~26,11,3,3,0 08-07~91,13,9,2,0 08-21~80,8,4,3,0 05-13~21,4,3,1,0 05-27~33,6,4,1,0 08-03~124,10,5,1,1 06-18~61,8,5,4,0 2026-07M~115,15,7,3,1 06-01~46,11,6,3,1 07-19~62,7,4,2,2 08-12~69,12,5,4,2 07-10~48,14,6,3,2 06-08~62,12,8,3,1 07-21~45,10,5,3,1 08-25~79,8,5,2,1 05-21~29,8,8,3,0 06-15~62,15,13,5,2 07-12~58,15,6,4,2 08-26~58,6,4,4,1 06-05~50,5,2,1,0 08-19~110,13,5,4,3 09-01~47,7,2,2,1 07-05~73,10,6,3,0 08-18~60,7,3,1,1 09-02~41,6,4,2,1 2026-08M~270,23,10,7,0 05-22~25,8,3,2,2 2026-08~1911,370,149,85,33 08-13~71,12,2,1,1 05-25~28,12,4,2,2 08-10~112,15,4,1,1 06-29~57,4,1,0,0 07-31~100,10,3,2,0 05-14~19,6,3,2,0 08-01~144,12,6,4,0 07-26~54,12,4,2,0 07-30~113,9,3,2,0 06-28~62,11,6,5,1 07-20~51,7,2,1,1 07-25~50,8,6,4,3 05-11~17,10,0,0,0 07-02~75,9,4,1,0 07-17~46,18,8,4,1 08-08~89,10,3,0,0 06-09~90,11,7,5,1 07-11~41,8,7,3,2 06-24~89,11,7,4,1 07-06~47,7,3,2,0 07-29~146,12,5,1,0 05-15~18,5,3,2,2 08-28~63,8,5,2,0 07-03~67,11,7,4,3 08-29~43,6,5,4,2 05-29~31,6,4,1,0 06-21~76,9,4,3,0 2026-07~1323,286,147,82,34 08-06~99,11,1,1,0 06-25~80,9,5,1,0 06-27~43,6,4,2,1 08-20~92,8,0,0,0 06-17~53,3,3,2,1 2026-05~398,143,84,44,20 05-16~15,5,5,1,0 06-02~50,9,5,2,0 05-17~22,7,5,2,0 sr~5811,4150 se~15600,925,94,12.5,4.42
Timor-Leste|2026-07~4,1,0,0,0 07-04~1,0,0,0,0 06-11~1,1,1,0,0 08-29~1,0,0,0,0 05-07~1,0,0,0,0 07-01~2,1,0,0,0 06-22~1,1,0,0,0 all~10,4,1,0,0 2026-08~1,0,0,0,0 06-17~1,1,0,0,0 2026-07M~3,1,0,0,0 2026-05~1,0,0,0,0 2026-06~4,3,1,0,0 07-02~1,0,0,0,0 06-15~1,0,0,0,0
Togo|06-03~1,1,1,0,0 06-25~1,0,0,0,0 2026-09M~1,1,1,1,0 all~20,10,7,3,0 2026-07~6,4,3,1,0 06-20~1,0,0,0,0 08-25~1,1,1,0,0 07-29~3,3,3,1,0 06-29~1,1,0,0,0 2026-08~5,1,1,0,0 08-12~1,1,0,0,0 06-21~1,0,0,0,0 07-01~1,0,0,0,0 08-05~1,1,1,0,0 2026-07M~1,0,0,0,0 2026-09~1,1,1,1,0 06-26~2,1,1,1,0 08-15~2,0,0,0,0 09-02~1,0,0,0,0 06-27~2,0,0,0,0 2026-06~10,4,2,1,0 07-24~1,1,0,0,0 07-03~2,0,0,0,0 08-11~2,0,0,0,0 06-22~2,0,0,0,0 06-11~1,1,0,0,0 06-14~2,0,0,0,0 06-24~1,0,0,0,0 09-01~1,1,1,1,0
